capture,camera_arm,depth_mode,method,repeat,formal,status,ok,reference_status,reference_corners,reference_rmse_px,center_mm,candidate_center_mm,delta_xyz_mm,center_distance_mm,delta_local_box_axes_mm,rotation_delta_deg,rotation_delta_sym180_deg,yaw_delta_sym180_deg,height_axis_angle_deg,opening_center_delta_mm,algorithm_seconds,fdp_client_seconds,container_wall_seconds,fast_path_seconds,fallback_seconds,fallback_total_seconds,fallback_triggered,rejection_reasons,fallback_reason,oom_killed,exit_code
L01_wrist_charuco_20260915_093818_877801116,left,lingbot,FDP,rep01,True,accepted,True,unavailable,4,,"[963.390263922216,-41.36161236258923,523.3350972489058]",,,,,,,,,,1.018262458999743,1.2705348069994216,,,,,,[],,False,0
L01_wrist_charuco_20260915_093818_877801116,left,lingbot,FDP,rep02,True,accepted,True,unavailable,4,,"[963.390263922216,-41.36161236258923,523.3350972489058]",,,,,,,,,,1.0353776030005974,1.2895020599989948,,,,,,[],,False,0
L01_wrist_charuco_20260915_093818_877801116,left,lingbot,FDP,rep03,True,accepted,True,unavailable,4,,"[963.390263922216,-41.36161236258923,523.3350972489058]",,,,,,,,,,0.9809508889993594,1.2326888010011317,,,,,,[],,False,0
L01_wrist_charuco_20260915_093818_877801116,left,lingbot,FDP,rep04,True,accepted,True,unavailable,4,,"[963.390263922216,-41.36161236258923,523.3350972489058]",,,,,,,,,,0.9292709149995062,1.1812161760008166,,,,,,[],,False,0
L01_wrist_charuco_20260915_093818_877801116,left,lingbot,FDP,rep05,True,accepted,True,unavailable,4,,"[963.390263922216,-41.36161236258923,523.3350972489058]",,,,,,,,,,1.0308853239985183,1.2840584559999115,,,,,,[],,False,0
L01_wrist_charuco_20260915_093818_877801116,left,lingbot,FDP,warmup,False,accepted,True,unavailable,4,,"[963.390263922216,-41.36161236258923,523.3350972489058]",,,,,,,,,,1.0635871840004256,1.3172999500002334,,,,,,[],,False,0
L01_wrist_charuco_20260915_093818_877801116,left,raw,FDP,rep01,True,accepted,True,unavailable,4,,"[967.0127143346838,-44.013508987019556,518.0540014888943]",,,,,,,,,,1.0471553450006468,1.3077638739996473,,,,,,[],,False,0
L01_wrist_charuco_20260915_093818_877801116,left,raw,FDP,rep02,True,accepted,True,unavailable,4,,"[967.0127143346838,-44.013508987019556,518.0540014888943]",,,,,,,,,,1.0825273250011378,1.3430504289990495,,,,,,[],,False,0
L01_wrist_charuco_20260915_093818_877801116,left,raw,FDP,rep03,True,accepted,True,unavailable,4,,"[967.0127143346838,-44.013508987019556,518.0540014888943]",,,,,,,,,,0.9628313279990834,1.2240892040008475,,,,,,[],,False,0
L01_wrist_charuco_20260915_093818_877801116,left,raw,FDP,rep04,True,accepted,True,unavailable,4,,"[967.0127143346838,-44.013508987019556,518.0540014888943]",,,,,,,,,,0.9890052179998747,1.2501510809997853,,,,,,[],,False,0
L01_wrist_charuco_20260915_093818_877801116,left,raw,FDP,rep05,True,accepted,True,unavailable,4,,"[967.0127143346838,-44.013508987019556,518.0540014888943]",,,,,,,,,,1.002562866999142,1.266795417999674,,,,,,[],,False,0
L01_wrist_charuco_20260915_093818_877801116,left,raw,FDP,warmup,False,accepted,True,unavailable,4,,"[967.0127143346838,-44.013508987019556,518.0540014888943]",,,,,,,,,,33.32026919599957,33.5869459229998,,,,,,[],,False,0
L02_wrist_charuco_20260915_100236_358935353,left,lingbot,FDP,rep01,True,accepted,True,available,47,0.3802954852581024,"[779.5563728572417,-31.39029849854519,519.3040081749724]",,"[5.81021252327707,-5.209562876787449,-18.470859047488908]",20.051701894977658,"[5.15067817696347,6.297720756439119,-18.327028577385878]",179.78755692485888,0.39364327716945896,0.21089913850809694,0.33139510835634384,"[6.358770021069438,-5.123649595684482,-16.989831170358904]",0.9187088620001305,1.1748517409996566,,,,,,[],,False,0
L02_wrist_charuco_20260915_100236_358935353,left,lingbot,FDP,rep02,True,accepted,True,available,47,0.3802954852581024,"[779.5563728572417,-31.39029849854519,519.3040081749724]",,"[5.81021252327707,-5.209562876787449,-18.470859047488908]",20.051701894977658,"[5.15067817696347,6.297720756439119,-18.327028577385878]",179.78755692485888,0.39364327716945896,0.21089913850809694,0.33139510835634384,"[6.358770021069438,-5.123649595684482,-16.989831170358904]",1.0418087329999253,1.2982935170002747,,,,,,[],,False,0
L02_wrist_charuco_20260915_100236_358935353,left,lingbot,FDP,rep03,True,accepted,True,available,47,0.3802954852581024,"[779.5563728572417,-31.39029849854519,519.3040081749724]",,"[5.81021252327707,-5.209562876787449,-18.470859047488908]",20.051701894977658,"[5.15067817696347,6.297720756439119,-18.327028577385878]",179.78755692485888,0.39364327716945896,0.21089913850809694,0.33139510835634384,"[6.358770021069438,-5.123649595684482,-16.989831170358904]",1.010963319999064,1.2698704230006115,,,,,,[],,False,0
