lsy03@lsy03-System-Product-Name:~/文档/ChatGPT/VLA G1 项目$ bash teleoperation/run_arm7_direct.sh --execute --seconds 120 --start-control keyboard
自动日志：lerobot_runs/arm7_direct_20260914_201459_522389.jsonl
独立实验：无自碰撞或环境避障检查。默认锁定，人工开始后才跟随。
LOCKED | GP主臂=[ +49.4,  -82.9,  -64.6,  -31.9,  +18.9,  -32.7,   -1.5] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -8.7,   -6.5,   -0.7,  +13.3,  +12.6,  -33.2,   -1.0] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.23°>15° | 七关节起步未对齐（每关节差值要求≤15°）
LOCKED | GP主臂=[ +49.4,  -83.3,  -64.4,  -32.6,  +19.0,  -32.9,   -1.5] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -8.7,   -7.0,   -0.6,  +12.7,  +12.7,  -33.4,   -1.0] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.43°>15° | 七关节起步未对齐（每关节差值要求≤15°）
LOCKED | GP主臂=[ +49.3,  -83.3,  -64.4,  -32.5,  +19.0,  -33.0,   -1.5] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -8.8,   -6.9,   -0.5,  +12.7,  +12.7,  -33.6,   -1.1] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.56°>15° | 七关节起步未对齐（每关节差值要求≤15°）
LOCKED | GP主臂=[ +49.1,  -83.5,  -64.4,  -32.3,  +19.1,  -33.0,   -1.6] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -9.0,   -7.2,   -0.6,  +12.9,  +12.8,  -33.5,   -1.1] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.54°>15° | 七关节起步未对齐（每关节差值要求≤15°）
LOCKED | GP主臂=[ +49.2,  -83.4,  -64.4,  -32.5,  +19.1,  -33.1,   -1.6] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -8.9,   -7.1,   -0.5,  +12.8,  +12.8,  -33.6,   -1.1] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.61°>15° | 七关节起步未对齐（每关节差值要求≤15°）
LOCKED | GP主臂=[ +49.2,  -83.4,  -64.3,  -32.6,  +19.1,  -33.1,   -1.6] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -8.9,   -7.1,   -0.4,  +12.7,  +12.9,  -33.6,   -1.1] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.64°>15° | 七关节起步未对齐（每关节差值要求≤15°）
LOCKED | GP主臂=[ +49.2,  -83.5,  -64.2,  -32.6,  +19.1,  -33.1,   -1.6] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -8.9,   -7.2,   -0.4,  +12.6,  +12.8,  -33.7,   -1.1] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.65°>15° | 七关节起步未对齐（每关节差值要求≤15°）
LOCKED | GP主臂=[ +49.2,  -83.6,  -64.2,  -32.7,  +19.1,  -33.1,   -1.6] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -8.9,   -7.2,   -0.4,  +12.5,  +12.8,  -33.6,   -1.2] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.63°>15° | 七关节起步未对齐（每关节差值要求≤15°）
LOCKED | GP主臂=[ +49.1,  -83.5,  -64.2,  -32.5,  +19.1,  -33.0,   -1.6] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -9.0,   -7.2,   -0.4,  +12.7,  +12.8,  -33.6,   -1.2] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.57°>15° | 七关节起步未对齐（每关节差值要求≤15°）
LOCKED | GP主臂=[ +49.2,  -83.5,  -64.2,  -32.5,  +19.0,  -33.1,   -1.7] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -8.9,   -7.1,   -0.4,  +12.7,  +12.8,  -33.6,   -1.2] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.59°>15° | 七关节起步未对齐（每关节差值要求≤15°）
LOCKED | GP主臂=[ +49.3,  -83.6,  -64.2,  -32.6,  +19.1,  -33.1,   -1.7] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -8.8,   -7.2,   -0.4,  +12.6,  +12.8,  -33.6,   -1.2] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.62°>15° | 七关节起步未对齐（每关节差值要求≤15°）
LOCKED | GP主臂=[ +49.4,  -83.7,  -64.1,  -32.7,  +19.1,  -33.2,   -1.7] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -8.7,   -7.3,   -0.3,  +12.6,  +12.9,  -33.7,   -1.2] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.69°>15° | 七关节起步未对齐（每关节差值要求≤15°）
LOCKED | GP主臂=[ +49.7,  -83.6,  -64.1,  -32.7,  +19.1,  -33.3,   -1.6] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -8.4,   -7.2,   -0.3,  +12.5,  +12.9,  -33.8,   -1.1] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.78°>15° | 七关节起步未对齐（每关节差值要求≤15°）
LOCKED | GP主臂=[ +49.7,  -83.6,  -64.1,  -32.7,  +19.2,  -33.3,   -1.6] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -8.4,   -7.2,   -0.2,  +12.5,  +12.9,  -33.8,   -1.1] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.82°>15° | 七关节起步未对齐（每关节差值要求≤15°）
LOCKED | GP主臂=[ +49.5,  -83.8,  -64.1,  -32.6,  +19.3,  -33.2,   -1.6] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -8.6,   -7.4,   -0.2,  +12.7,  +13.0,  -33.8,   -1.2] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.77°>15° | 七关节起步未对齐（每关节差值要求≤15°）
LOCKED | GP主臂=[ +49.6,  -83.8,  -64.2,  -32.6,  +19.3,  -33.3,   -1.7] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -8.5,   -7.5,   -0.3,  +12.7,  +13.1,  -33.8,   -1.2] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.79°>15° | 七关节起步未对齐（每关节差值要求≤15°）
LOCKED | GP主臂=[ +49.4,  -83.7,  -64.0,  -32.7,  +19.3,  -33.3,   -1.6] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -8.7,   -7.3,   -0.2,  +12.5,  +13.0,  -33.8,   -1.2] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.84°>15° | 七关节起步未对齐（每关节差值要求≤15°）
LOCKED | GP主臂=[ +49.1,  -84.0,  -63.9,  -33.4,  +19.1,  -33.4,   -1.6] G1从臂=[ +58.1,  -76.4,  -63.8,  -45.2,   +6.3,   +0.5,   -0.5] 差=[  -9.0,   -7.7,   -0.1,  +11.9,  +12.8,  -34.0,   -1.2] | 启动要求：各关节主从差绝对值≤15°，主从均须在保守绝对限位内 | J6未对齐：主从差绝对值=33.95°>15° | 七关节起步未对齐（每关节差值要求≤15°）
