capture,method,depth_used,camera_arm,board_reference_status,board_corners,formal_attempts,accepted_count,rejected_count,status_summary,reported_source,reported_delta_x_mm,reported_delta_y_mm,reported_delta_z_mm,reported_center_distance_mm,reported_yaw_delta_sym180_deg,formal_accepted_delta_x_mm,formal_accepted_delta_y_mm,formal_accepted_delta_z_mm,formal_accepted_center_distance_mm,formal_accepted_yaw_delta_sym180_deg,rejected_candidate_delta_x_mm,rejected_candidate_delta_y_mm,rejected_candidate_delta_z_mm,rejected_candidate_center_distance_mm,rejected_candidate_yaw_delta_sym180_deg,primary_time_s,time_p90_s,accepted_time_s,rejected_time_s,container_wall_median_s,rejection_reasons,fallback_triggered_count
L01_wrist_charuco_20260915_093818_877801116,FDP,raw,left,unavailable,4,5,5,0,accepted,formal_accepted,,,,,,,,,,,,,,,,1.266795417999674,1.3289358069992887,1.266795417999674,,,[],0
L01_wrist_charuco_20260915_093818_877801116,V5-original,lingbot,left,unavailable,4,5,5,0,accepted,formal_accepted,,,,,,,,,,,,,,,,14.053847456998483,14.083566283400433,14.053847456998483,,14.857540860999507,[],0
L01_wrist_charuco_20260915_093818_877801116,BCM,lingbot,left,unavailable,4,5,5,0,accepted,formal_accepted,,,,,,,,,,,,,,,,13.86666319699907,13.931306891599524,13.86666319699907,,14.904907844000263,[],0
L01_wrist_charuco_20260915_093818_877801116,R1,lingbot,left,unavailable,4,5,0,5,rejected,unavailable,,,,,,,,,,,,,,,,0.7951049879993661,0.7987521822011331,,0.7951049879993661,1.8205364269997517,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L01_wrist_charuco_20260915_093818_877801116,RM,lingbot,left,unavailable,4,5,0,5,rejected,unavailable,,,,,,,,,,,,,,,,4.091748852999444,4.09958747779965,,4.091748852999444,5.08115163599723,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L01_wrist_charuco_20260915_093818_877801116,R1F,lingbot,left,unavailable,4,5,5,0,accepted,formal_accepted,,,,,,,,,,,,,,,,14.6340983959999,14.653059394399316,14.6340983959999,,15.657591163002508,[],5
L02_wrist_charuco_20260915_100236_358935353,FDP,raw,left,available,47,5,5,0,accepted,formal_accepted,5.184102128596213,-3.9785152276855804,-16.267106976529888,17.53060944983115,0.3680269575950206,5.184102128596213,-3.9785152276855804,-16.267106976529888,17.53060944983115,0.3680269575950206,,,,,,1.2741320279983483,1.2839975159997266,1.2741320279983483,,,[],0
L02_wrist_charuco_20260915_100236_358935353,V5-original,lingbot,left,available,47,5,0,5,rejected,rejected_candidate_diagnostic,5.388499589207618,-5.4528733322739695,-19.028236044756785,20.514471047913876,0.641247267780102,,,,,,5.388499589207618,-5.4528733322739695,-19.028236044756785,20.514471047913876,0.641247267780102,19.683269068998925,19.875671756798692,,19.683269068998925,20.47240709399921,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L02_wrist_charuco_20260915_100236_358935353,BCM,lingbot,left,available,47,5,0,5,rejected,rejected_candidate_diagnostic,5.388499589207618,-5.4528733322739695,-19.028236044756785,20.514471047913876,0.641247267780102,,,,,,5.388499589207618,-5.4528733322739695,-19.028236044756785,20.514471047913876,0.641247267780102,19.358187228001043,19.630020262601466,,19.358187228001043,20.37029444500149,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L02_wrist_charuco_20260915_100236_358935353,R1,lingbot,left,available,47,5,0,5,rejected,rejected_candidate_diagnostic,6.077659356432896,-4.075486169246529,-19.70558666291,21.020410949789078,0.4069899345793999,,,,,,6.077659356432896,-4.075486169246529,-19.70558666291,21.020410949789078,0.4069899345793999,0.902890268000192,0.9049146787991049,,0.902890268000192,1.9209683619992575,"[""ambiguous_inner_outer_surface_hypotheses""]",0
