capture,method,depth_used,camera_arm,board_reference_status,board_corners,formal_attempts,accepted_count,reference_scorable,status_summary,delta_x_mm,delta_y_mm,delta_z_mm,center_distance_mm,yaw_delta_sym180_deg,rotation_delta_sym180_deg,primary_time_s,time_p90_s,container_wall_median_s,time_definition,rejection_reasons,fallback_triggered_count
L01_wrist_charuco_20260915_093818_877801116,FDP,raw,left,unavailable,4,5,5,0,accepted,,,,,,,1.266795417999674,1.3289358069992887,,FDP完整客户端时间,[],0
L01_wrist_charuco_20260915_093818_877801116,V5-original,lingbot,left,unavailable,4,5,5,0,accepted,,,,,,,14.053847456998483,14.083566283400433,14.857540860999507,S1 Docker后端时间,[],0
L01_wrist_charuco_20260915_093818_877801116,BCM,lingbot,left,unavailable,4,5,5,0,accepted,,,,,,,13.86666319699907,13.931306891599524,14.904907844000263,S1 Docker后端时间,[],0
L01_wrist_charuco_20260915_093818_877801116,R1,lingbot,left,unavailable,4,5,0,0,rejected,,,,,,,0.7951049879993661,0.7987521822011331,1.8205364269997517,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L01_wrist_charuco_20260915_093818_877801116,RM,lingbot,left,unavailable,4,5,0,0,rejected,,,,,,,4.091748852999444,4.09958747779965,5.08115163599723,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L01_wrist_charuco_20260915_093818_877801116,R1F,lingbot,left,unavailable,4,5,5,0,accepted,,,,,,,14.6340983959999,14.653059394399316,15.657591163002508,S1 Docker后端时间,[],5
L02_wrist_charuco_20260915_100236_358935353,FDP,raw,left,available,47,5,5,5,accepted,5.184102128596213,-3.9785152276855804,-16.267106976529888,17.53060944983115,0.3680269575950206,0.5025172907219193,1.2741320279983483,1.2839975159997266,,FDP完整客户端时间,[],0
L02_wrist_charuco_20260915_100236_358935353,V5-original,lingbot,left,available,47,5,0,0,rejected,,,,,,,19.683269068998925,19.875671756798692,20.47240709399921,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L02_wrist_charuco_20260915_100236_358935353,BCM,lingbot,left,available,47,5,0,0,rejected,,,,,,,19.358187228001043,19.630020262601466,20.37029444500149,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L02_wrist_charuco_20260915_100236_358935353,R1,lingbot,left,available,47,5,0,0,rejected,,,,,,,0.902890268000192,0.9049146787991049,1.9209683619992575,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L02_wrist_charuco_20260915_100236_358935353,RM,lingbot,left,available,47,5,0,0,rejected,,,,,,,5.044405546999769,5.057107104999159,6.081782943998405,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L02_wrist_charuco_20260915_100236_358935353,R1F,lingbot,left,available,47,5,0,0,rejected,,,,,,,20.3068687949999,20.416933670999423,21.323263785001473,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",5
L03_00_wrist_charuco_20260915_104002_497962253,FDP,raw,left,available,65,5,5,5,accepted,4.476343969674446,-5.014230429179895,-15.102116110189968,16.530398456704354,1.0213651744697358,2.594462725192989,1.2723071039999923,1.287590777198784,,FDP完整客户端时间,[],0
L03_00_wrist_charuco_20260915_104002_497962253,V5-original,lingbot,left,available,65,5,0,0,rejected,,,,,,,23.096464073998504,23.338541851600894,23.87888186700002,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses"",""visible_shell_residual_or_coverage_too_low""]",0
L03_00_wrist_charuco_20260915_104002_497962253,BCM,lingbot,left,available,65,5,0,0,rejected,,,,,,,22.86676087900196,23.130239720199462,23.878877356000885,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses"",""visible_shell_residual_or_coverage_too_low""]",0
L03_00_wrist_charuco_20260915_104002_497962253,R1,lingbot,left,available,65,5,0,0,rejected,,,,,,,1.1127533949984354,1.1279529421990446,2.1213279889998375,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L03_00_wrist_charuco_20260915_104002_497962253,RM,lingbot,left,available,65,5,0,0,rejected,,,,,,,5.447529092998593,5.493499609000719,6.482847500999924,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses"",""visible_shell_residual_or_coverage_too_low""]",0
